attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url
python3Packages.pyglossary,pyglossary,5.2.1,fetchFromGitHub,https://github.com/ilius/pyglossary,ilius,pyglossary,refs/tags/5.2.1,tag,sha256-kxCJ5Sv/v7LOIgNrhpv2Q3ooWx/eciWOVV5YhjOWf70=,https://github.com/ilius/pyglossary/archive/refs/tags/5.2.1.tar.gz
python3Packages.pygls,pygls,2.0.1,fetchFromGitHub,https://github.com/openlawlibrary/pygls,openlawlibrary,pygls,refs/tags/v2.0.1,tag,sha256-RznpnGBOZZeNP1pqL9jSNd0W2sJmW0CAo8DKP6t9APw=,https://github.com/openlawlibrary/pygls/archive/refs/tags/v2.0.1.tar.gz
python3Packages.pygls_2,pygls,2.0.1,fetchFromGitHub,https://github.com/openlawlibrary/pygls,openlawlibrary,pygls,refs/tags/v2.0.1,tag,sha256-RznpnGBOZZeNP1pqL9jSNd0W2sJmW0CAo8DKP6t9APw=,https://github.com/openlawlibrary/pygls/archive/refs/tags/v2.0.1.tar.gz
python3Packages.pygobject-stubs,pygobject-stubs,2.16.0,fetchFromGitHub,https://github.com/pygobject/pygobject-stubs,pygobject,pygobject-stubs,refs/tags/v2.16.0,tag,sha256-3gWz/mWAMoXAHMfCFv3ri680iuMm0WLtGyMODujq31M=,https://github.com/pygobject/pygobject-stubs/archive/refs/tags/v2.16.0.tar.gz
python3Packages.pyintesishome,pyintesishome,1.8.5,fetchFromGitHub,https://github.com/jnimmo/pyIntesisHome,jnimmo,pyIntesisHome,refs/tags/1.8.5,tag,sha256-QgIvIn8I5EtJSNj1FdOI+DPgG7/y2ToQ62dhk7flieo=,https://github.com/jnimmo/pyIntesisHome/archive/refs/tags/1.8.5.tar.gz
python3Packages.pyisy,pyisy,3.4.1,fetchFromGitHub,https://github.com/automicus/PyISY,automicus,PyISY,refs/tags/v3.4.1,tag,sha256-9gGrrFh5xCuX4GjF6a6RRGkpF/rH07Zz0nyKvgwgEkU=,https://github.com/automicus/PyISY/archive/refs/tags/v3.4.1.tar.gz
python3Packages.pykka,pykka,4.4.1,fetchFromGitHub,https://github.com/jodal/pykka,jodal,pykka,refs/tags/v4.4.1,tag,sha256-61Dr8V2LILGNveVi6eD0OODXF/a8m8I5/H9MfyIr9Dg=,https://github.com/jodal/pykka/archive/refs/tags/v4.4.1.tar.gz
python3Packages.pylibjpeg-libjpeg,pylibjpeg-libjpeg,2.3.0,fetchFromGitHub,https://github.com/pydicom/pylibjpeg-libjpeg,pydicom,pylibjpeg-libjpeg,refs/tags/v2.3.0,tag,sha256-P01pofPLTOa5ynsCkLnxiMzVfCg4tbT+/CcpPTeSViw=,https://github.com/pydicom/pylibjpeg-libjpeg/archive/refs/tags/v2.3.0.tar.gz
python3Packages.pymatgen,pymatgen,2025.10.7,fetchFromGitHub,https://github.com/materialsproject/pymatgen,materialsproject,pymatgen,refs/tags/v2025.10.7,tag,sha256-pbnWSmU2rtqUbjZBmzJz3HE1t5zZTJv7HSfrcVUFxmU=,https://github.com/materialsproject/pymatgen/archive/refs/tags/v2025.10.7.tar.gz
python3Packages.pymc,pymc,5.28.1,fetchFromGitHub,https://github.com/pymc-devs/pymc,pymc-devs,pymc,refs/tags/v5.28.1,tag,sha256-6P171KjWvSgtiYxsGNvVxs4Pfqs3S7gxg6aGRbQ/Zcw=,https://github.com/pymc-devs/pymc/archive/refs/tags/v5.28.1.tar.gz
